PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,[1] 07172024_300SPD_5cmIO_JW_200ngMix1_Rep1.raw.PG.MS2Quantity,[2] 07172024_300SPD_5cmIO_JW_200ngMix1_Rep2.raw.PG.MS2Quantity,[3] 07172024_300SPD_5cmIO_JW_200ngMix1_Rep3.raw.PG.MS2Quantity,[4] 07172024_300SPD_5cmIO_JW_200ngMix2_Rep1.raw.PG.MS2Quantity,[5] 07172024_300SPD_5cmIO_JW_200ngMix2_Rep2.raw.PG.MS2Quantity,[6] 07172024_300SPD_5cmIO_JW_200ngMix2_Rep3.raw.PG.MS2Quantity,[7] 07172024_300SPD_5cmIO_JW_200ngMix3_Rep1.raw.PG.MS2Quantity,[8] 07172024_300SPD_5cmIO_JW_200ngMix3_Rep2.raw.PG.MS2Quantity,[9] 07172024_300SPD_5cmIO_JW_200ngMix3_Rep3.raw.PG.MS2Quantity,[10] 07172024_300SPD_5cmIO_JW_200ngMix4_Rep1.raw.PG.MS2Quantity,[11] 07172024_300SPD_5cmIO_JW_200ngMix4_Rep2.raw.PG.MS2Quantity,[12] 07172024_300SPD_5cmIO_JW_200ngMix4_Rep3.raw.PG.MS2Quantity,[13] 07172024_300SPD_5cmIO_JW_200ngMix5_Rep1.raw.PG.MS2Quantity,[14] 07172024_300SPD_5cmIO_JW_200ngMix5_Rep2.raw.PG.MS2Quantity,[15] 07172024_300SPD_5cmIO_JW_200ngMix5_Rep3.raw.PG.MS2Quantity
A0A075B6G3;A0A087WV90;A0A5H1ZRP7;A0A5H1ZRP8;A0A5H1ZRP9;A0A5H1ZRQ1;A0A5H1ZRQ8;A0A7P0T8I2;A0A7P0Z4P7;A0A804HJY0;A0A804HKR4;H0Y304;P11532,A0A075B6G3;A0A087WV90;A0A5H1ZRP7;A0A5H1ZRP8;A0A5H1ZRP9;A0A5H1ZRQ1;A0A5H1ZRQ8;A0A7P0T8I2;A0A7P0Z4P7;A0A804HJY0;A0A804HKR4;H0Y304;P11532,DMD,Homo sapiens,Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin (Fragment);Dystrophin,545.1353759765625,572.9360352,555.6838379,527.8528442382812,566.3995971679688,513.4047241210938,587.3936767578125,514.8618774414062,588.3503418,590.3760986328125,572.7446289,536.0483398,512.4445801,457.4512634277344,526.5791625976562
A0A075B6T1;Q9C0C7,A0A075B6T1;Q9C0C7,AMBRA1,Homo sapiens,Autophagy and beclin 1 regulator 1;Activating molecule in BECN1-regulated autophagy protein 1,42.68986129760742,37.330963134765625,45.61634445,64.41482543945312,51.10926055908203,53.983638763427734,56.73655319213867,46.96422195,53.44215012,34.651512145996094,NaN,56.516929626464844,57.66499710083008,18.697031021118164,36.29442215
A0A075B6T4;Q9NVX7,A0A075B6T4;Q9NVX7,KBTBD4,Homo sapiens,Kelch repeat and BTB domain containing 4;Kelch repeat and BTB domain-containing protein 4,103.56018829345703,95.96658325195312,73.12638092041016,98.04368591308594,71.32569122314453,80.28333282470703,71.55536651611328,80.11324310302734,85.61542510986328,94.62622833251953,90.58489227294922,81.07960510253906,74.78324127197266,90.38705444335938,128.88290405273438
A0A075B716;H0YN73;H0YN88;H3BNC9;P08708,A0A075B716;H0YN73;H0YN88;H3BNC9;P08708,RPS17;RPS17;RPS17;;RPS17,Homo sapiens,40S ribosomal protein S17;40S ribosomal protein S17 (Fragment);40S ribosomal protein S17;40S ribosomal protein S17;40S ribosomal protein S17,11378.19238,11878.6875,11053.94629,11697.68457,11889.9209,12625.68555,11212.76465,12046.44434,11542.61523,11459.16797,12463.11523,12803.13086,13008.93945,12714.19531,12653.50488
A0A075B730;P58107,A0A075B730;P58107,EPPK1,Homo sapiens,Epiplakin 1;Epiplakin,962.9520874023438,974.5076293945312,913.3390502929688,837.9437255859375,902.1276245117188,907.0512695,864.1918945,906.3049316,853.7408447265625,898.269043,866.2101440429688,907.8022461,969.2613525390625,884.8246459960938,872.1959838867188
A0A075B752;Q5VT79,A0A075B752;Q5VT79,ANXA8L1,Homo sapiens,Annexin;Annexin A8-like protein 1,824.8901367,740.0360107421875,663.3069458007812,911.5170898,800.4014892578125,802.3376465,854.3342285,722.3915405273438,759.7562866210938,835.9399414,684.4923095703125,630.7548828,808.1392211914062,697.9191284179688,741.0057373046875
A0A075B773;K7ELY8;O00623,A0A075B773;K7ELY8;O00623,PEX12,Homo sapiens,Peroxisome assembly protein 12;Peroxisomal biogenesis factor 12 (Fragment);Peroxisome assembly protein 12,3006.585205078125,3089.096923828125,3272.232422,3203.496826171875,3069.218505859375,3501.492188,2792.321044921875,3113.911865234375,3330.988525390625,2922.029785,2793.555664,3098.942383,2417.605469,2148.77002,2400.332031
A0A075B7C0;A0A0C4DGQ5;K7EIV0;K7EM73;P04632,A0A075B7C0;A0A0C4DGQ5;K7EIV0;K7EM73;P04632,CAPNS1,Homo sapiens,Calpain small subunit 1 (Fragment);Calpain small subunit 1;Calpain small subunit 1 (Fragment);Calpain small subunit 1 (Fragment);Calpain small subunit 1,853.8062133789062,941.2799072265625,848.1540527,733.7546997070312,804.8797607421875,688.7029418945312,726.3958740234375,681.2407227,742.5,910.8920898,971.0001831054688,914.9972534179688,944.7536621,797.7236938476562,872.4332275390625
A0A087WT04;Q6P1K2;U3KQ54;V9GYI0,A0A087WT04;Q6P1K2;U3KQ54;V9GYI0,PMF1-BGLAP;PMF1;PMF1-BGLAP;PMF1,Homo sapiens,PMF1-BGLAP readthrough;Polyamine-modulated factor 1;HCG2044777;Polyamine modulated factor 1,210.76231384277344,256.7649841308594,299.2674560546875,279.4341735839844,331.0547790527344,223.69081115722656,334.7474670410156,221.31092834472656,234.3683319091797,259.5898742675781,261.2854309082031,263.4465026855469,247.1112060546875,247.02552795410156,293.2854004
A0A087WT20;Q9NV06,A0A087WT20;Q9NV06,DCAF13,Homo sapiens,DDB1- and CUL4-associated factor 13,909.2239990234375,900.6224975585938,895.1126098632812,870.0022583007812,876.7301025390625,854.8216552734375,895.2486572265625,997.776123,885.6936035,906.2320556640625,924.9567260742188,959.9765625,871.4515991210938,913.0285034179688,913.8811035
A0A087WT38;Q96I51,A0A087WT38;Q96I51,RCC1L,Homo sapiens,RCC1 like (Fragment);RCC1-like G exchanging factor-like protein,237.80233764648438,375.638916,212.76235961914062,245.1587677001953,192.65240478515625,228.58700561523438,145.5914306640625,173.7691650390625,179.28904724121094,197.0341033935547,171.00497436523438,240.8754883,213.2656707763672,230.36729431152344,215.13938903808594
A0A087WT44;P30519,A0A087WT44;P30519,HMOX2,Homo sapiens,heme oxygenase (biliverdin-producing);Heme oxygenase 2,1139.820313,1102.9749755859375,1162.9083251953125,1118.3387451171875,1240.6844482421875,1168.0736083984375,1184.356445,1151.4139404296875,1200.9002685546875,1204.618652,1190.3162841796875,1222.7999267578125,1131.872559,1176.523438,1071.427978515625
A0A087WT55;A0A087WVE6;A0A087WXD0;Q9NPI6,A0A087WT55;A0A087WVE6;A0A087WXD0;Q9NPI6,DCP1A,Homo sapiens,5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase (Fragment);5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase (Fragment);5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase;mRNA-decapping enzyme 1A,230.3178711,NaN,201.46408081054688,176.7273712158203,252.37734985351562,218.55059814453125,269.6062012,211.12313842773438,240.2827148,244.65455627441406,224.01588439941406,220.98167419433594,269.19488525390625,251.8483428955078,180.30657958984375
A0A087WT78;A0A7P0TAE1;A0A7P0TAT8;H0YIV0;P14625,A0A087WT78;A0A7P0TAE1;A0A7P0TAT8;H0YIV0;P14625,HSP90B1,Homo sapiens,Heat shock protein 90 beta family member 1;Heat shock protein 90 beta family member 1;Heat shock protein 90 beta family member 1;Heat shock protein 90 beta family member 1;Endoplasmin,39516.21484,40012.89063,38616.22266,38776.68359,39425.78125,38243.10547,38998.64453,38585.58203,38146.16797,42006.19922,40382.89453,42880.28516,39051.53906,40076.87109,39497.95703
A0A087WT87;A0A087X0U3;A0A7P0TAG7;P43003,A0A087WT87;A0A087X0U3;A0A7P0TAG7;P43003,SLC1A3,Homo sapiens,Amino acid transporter;Amino acid transporter;Amino acid transporter;Excitatory amino acid transporter 1,130.26272583007812,174.0933837890625,202.7883301,205.66595458984375,130.3389129638672,158.4662322998047,166.15887451171875,176.45838928222656,152.52542114257812,250.10240173339844,145.27674865722656,251.75811767578125,261.29254150390625,173.97128295898438,208.4717559814453
A0A087WT95;G3V4F2;P49753;Q86TX2,A0A087WT95;G3V4F2;P49753;Q86TX2,ACOT2;ACOT1;ACOT2;ACOT1,Homo sapiens,"Acyl-CoA thioesterase 2;Acyl-CoA thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial;Acyl-coenzyme A thioesterase 1",848.4864501953125,866.9172363,921.5648803710938,1045.778564453125,938.9965209960938,982.6844482421875,965.5454711914062,1038.234375,926.0416259765625,993.1517944335938,865.5264892578125,919.8574219,954.7868041992188,1027.9254150390625,976.5013427734375
A0A087WT99;Q9H0W9,A0A087WT99;Q9H0W9,C11orf54,Homo sapiens,Chromosome 11 open reading frame 54;Ester hydrolase C11orf54,841.6002807617188,643.8922119140625,648.2410278320312,749.9722900390625,795.7161254882812,879.1055297851562,911.9866333007812,868.5633544921875,710.2592163085938,NaN,164.0087127685547,NaN,1005.843505859375,1048.9254150390625,837.0800170898438
A0A087WTE2;A0A087WTP7;B7Z6Q0;F8WEK7;Q12980,A0A087WTE2;A0A087WTP7;B7Z6Q0;F8WEK7;Q12980,NPRL3,Homo sapiens,"NPR3 like, GATOR1 complex subunit;NPR3 like, GATOR1 complex subunit;GATOR complex protein NPRL3;NPR3 like, GATOR1 complex subunit;GATOR complex protein NPRL3",15.526199340820312,NaN,NaN,NaN,NaN,3.2504899501800537,NaN,9.427309036254883,14.657203674316406,11.128983497619629,8.553460121154785,18.685686111450195,8.131891250610352,NaN,NaN
A0A087WTJ9;Q8IWV7,A0A087WTJ9;Q8IWV7,UBR1,Homo sapiens,E3 ubiquitin-protein ligase;E3 ubiquitin-protein ligase UBR1,276.2272033691406,266.9680176,269.2449951171875,257.9477233886719,282.7627868652344,258.7261657714844,218.93687438964844,311.2406921386719,240.24008178710938,242.03079223632812,317.50616455078125,328.0291748046875,310.3925476074219,283.1664123535156,315.9025573730469
A0A087WTL4;A0A087WX97;Q9BXK5,A0A087WTL4;A0A087WX97;Q9BXK5,BCL2L13,Homo sapiens,BCL2 like 13;BCL2 like 13;Bcl-2-like protein 13,464.2755126953125,471.3354797363281,335.26861572265625,460.9543762207031,336.85614013671875,484.49493408203125,407.348877,459.0447998046875,420.08294677734375,410.0579833984375,NaN,561.5529785,436.32647705078125,210.66749572753906,508.7412109
A0A087WTM5;H7BYJ1;Q969K3,A0A087WTM5;H7BYJ1;Q969K3,RNF34,Homo sapiens,Ring finger protein 34;Ring finger protein 34;E3 ubiquitin-protein ligase RNF34,39.74232482910156,44.84767150878906,48.50117874145508,34.80213165283203,63.784542083740234,48.66024398803711,72.01859283447266,64.11090850830078,39.970951080322266,42.43044662475586,53.700721740722656,42.83622741699219,46.39544677734375,84.58565521240234,45.80256271362305
A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A096LPI3;A0A1B0GVW6;D6RE84;Q9NP73,A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A096LPI3;A0A1B0GVW6;D6RE84;Q9NP73,ALG13,Homo sapiens,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;ALG13 UDP-N-acetylglucosaminyltransferase subunit;ALG13 UDP-N-acetylglucosaminyltransferase subunit;N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase;Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,249.07232666015625,198.2799530029297,239.9629364013672,218.3217010498047,285.05023193359375,238.57009887695312,343.5437927246094,282.4362487792969,385.2312012,289.2462158203125,258.4594727,219.73545837402344,330.5151367,347.9399719238281,228.7432098388672
A0A087WTU3;Q9Y6I9,A0A087WTU3;Q9Y6I9,TEX264,Homo sapiens,"Testis expressed 264, ER-phagy receptor;Testis-expressed protein 264",212.5269317626953,318.0688477,306.43182373046875,275.894043,334.2070313,330.1695556640625,370.4429016113281,213.2481689453125,373.1769104003906,273.3947754,272.9781188964844,274.6473083496094,374.10504150390625,279.0142517089844,303.1938477
A0A087WTV6;Q96C36,A0A087WTV6;Q96C36,PYCR2,Homo sapiens,pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 2,843.8663330078125,1029.2711181640625,1077.330322265625,1013.198242,791.7409668,1006.77832,971.8502807617188,947.8142700195312,997.4935302734375,1078.187255859375,828.9173583984375,1001.6446533203125,846.4965209960938,1152.0084228515625,1010.4703369140625
A0A087WTW0;A0A087WVR3;Q96T88,A0A087WTW0;A0A087WVR3;Q96T88,UHRF1,Homo sapiens,E3 ubiquitin-protein ligase UHRF;E3 ubiquitin-protein ligase UHRF;E3 ubiquitin-protein ligase UHRF1,1080.3443603515625,1023.2713012695312,1021.5173950195312,994.5603637695312,1023.9996948242188,904.3187255859375,1124.186767578125,1127.829102,1054.4537353515625,956.8892822265625,1004.2553100585938,928.8395996,1059.2066650390625,1096.557617,1017.7664184570312
A0A087WTY6;A3KFI5;E5RFZ1;P41271,A0A087WTY6;A3KFI5;E5RFZ1;P41271,NBL1,Homo sapiens,"Neuroblastoma suppressor of tumorigenicity 1;NBL1, DAN family BMP antagonist (Fragment);NBL1, DAN family BMP antagonist (Fragment);Neuroblastoma suppressor of tumorigenicity 1",32.18177795410156,NaN,50.42935562133789,50.46760940551758,NaN,NaN,8.306908607,31.007890701293945,53.69107437133789,72.87873077392578,60.28931427001953,NaN,NaN,42.66263961791992,NaN
A0A087WTZ3;A0A087WVC0;A0A087WX16;A0A087WZ62;A0A087WZY8;Q9H6U8,A0A087WTZ3;A0A087WVC0;A0A087WX16;A0A087WZ62;A0A087WZY8;Q9H6U8,ALG9;ALG9;ALG9;;ALG9;ALG9,Homo sapiens,"ALG9 alpha-1,2-mannosyltransferase;Mannosyltransferase;ALG9 alpha-1,2-mannosyltransferase;Mannosyltransferase;Mannosyltransferase;Alpha-1,2-mannosyltransferase ALG9",225.9279327392578,257.1864929199219,375.5795898,416.7229309082031,NaN,356.5692443847656,NaN,277.8579102,NaN,NaN,NaN,288.1694336,222.3463592529297,461.66461181640625,521.1033935546875
A0A087WTZ5;E9PJ81;E9PRQ7;Q04323,A0A087WTZ5;E9PJ81;E9PRQ7;Q04323,UBXN1,Homo sapiens,UBX domain protein 1;UBX domain protein 1 (Fragment);UBX domain protein 1;UBX domain-containing protein 1,3614.891845703125,3494.561523,3760.412353515625,3224.574462890625,2868.466064453125,2755.733642578125,3513.960693359375,3701.372802734375,2877.537109,4021.461426,3572.857666015625,2907.647705078125,2919.687988,4617.549805,3565.140625
A0A087WU03,A0A087WU03,HNRNPDL,Homo sapiens,Heterogeneous nuclear ribonucleoprotein D like,199.32057189941406,NaN,321.1045227050781,312.7844543457031,414.5900879,319.2060852050781,198.74746704101562,269.3327941894531,212.89767456054688,328.3704528808594,154.85043334960938,313.7665710449219,338.74615478515625,472.82720947265625,317.61993408203125
A0A087WU28;A0A0B4J2C1;M0R176;Q4U2R6,A0A087WU28;A0A0B4J2C1;M0R176;Q4U2R6,MRPL51,Homo sapiens,"39S ribosomal protein L51, mitochondrial (Fragment);39S ribosomal protein L51, mitochondrial;39S ribosomal protein L51, mitochondrial;39S ribosomal protein L51, mitochondrial",356.4558105,470.68804931640625,424.4776611328125,567.7872924804688,447.8213195800781,321.72283935546875,522.5343017578125,478.1204528808594,450.5070801,380.1070251464844,404.4151611328125,399.1588439941406,456.8619079589844,468.9707336425781,386.5288391113281
A0A087WU53;A0A8I5KY62;A0A8I5KYH1;Q9H0U3,A0A087WU53;A0A8I5KY62;A0A8I5KYH1;Q9H0U3,MAGT1,Homo sapiens,Magnesium transporter 1;Magnesium transporter 1;Magnesium transporter 1;Magnesium transporter protein 1,340.3534851074219,318.4996643066406,379.6437683105469,336.12127685546875,321.6792297363281,307.6337891,291.6799011230469,344.4427185058594,367.57342529296875,295.07574462890625,359.3316345214844,344.3067321777344,280.22003173828125,345.4419860839844,389.64202880859375
A0A087WU76;A0A0A0MQV1;P28845,A0A087WU76;A0A0A0MQV1;P28845,HSD11B1,Homo sapiens,Hydroxysteroid 11-beta dehydrogenase 1 (Fragment);Hydroxysteroid 11-beta dehydrogenase 1 (Fragment);11-beta-hydroxysteroid dehydrogenase 1,848.1430664,899.1941528320312,864.9240112304688,745.9825439453125,739.5164184570312,713.3072509765625,865.9127807617188,704.1671752929688,822.1466064453125,607.7648315429688,697.9777221679688,704.6119384765625,500.5408630371094,463.8018493652344,518.6478271484375
A0A087WUB9;Q8WYA6,A0A087WUB9;Q8WYA6,CTNNBL1,Homo sapiens,Catenin beta like 1;Beta-catenin-like protein 1,362.6193542480469,355.78326416015625,307.49932861328125,388.84552001953125,361.13470458984375,397.7139587402344,434.2342224121094,422.8918762207031,386.5075988769531,205.22344970703125,245.21945190429688,184.9442901611328,343.4053955078125,343.8456115722656,323.4855041503906
A0A087WUE4;A0A0G2JNN3;C9JMY0;Q96PV6,A0A087WUE4;A0A0G2JNN3;C9JMY0;Q96PV6,LENG8,Homo sapiens,Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8 (Fragment);Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8,329.85284423828125,156.29063415527344,222.28550720214844,278.68243408203125,181.7127227783203,231.46746826171875,291.7665100097656,204.8005828857422,362.36138916015625,221.85244750976562,260.6186218261719,260.9995422363281,260.1936340332031,270.9744873046875,251.47035217285156
A0A087WUF3;K7EIU8;Q13485,A0A087WUF3;K7EIU8;Q13485,SMAD4,Homo sapiens,Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog 4,465.22540283203125,429.0306701660156,582.9016113,570.1513672,546.8204345703125,535.7136840820312,525.8046264648438,519.9780273,462.4141845703125,552.1837158203125,489.30987548828125,361.1185302734375,493.6080322265625,310.1615905761719,632.1673583984375
A0A087WUK2;O14979,A0A087WUK2;O14979,HNRNPDL,Homo sapiens,Heterogeneous nuclear ribonucleoprotein D like;Heterogeneous nuclear ribonucleoprotein D-like,1609.1248779296875,1877.311279296875,1912.5438232421875,1593.860595703125,1687.407958984375,1592.009033203125,1582.0894775390625,1682.4461669921875,1756.799072265625,1586.8138427734375,1695.914306640625,1601.799072265625,1583.1551513671875,1442.463379,1597.656738
A0A087WUT6;O60841,A0A087WUT6;O60841,EIF5B,Homo sapiens,Eukaryotic translation initiation factor 5B,3411.201172,3551.717285,3455.997559,3453.826904296875,3332.269531,3393.486816,3453.84668,3414.233154296875,3684.107177734375,3435.822266,3553.488281,3662.186035,3494.112305,3443.041259765625,3420.326416015625
